start	end	text
284	7981	Nice!
8001	18765	Het gaat allemaal hard in fact, weet je wel.
21817	46677	maar dit is dus in malaysië als ik het goed heb en het is in een bejaardenhuis zoals je kunt zien voor veteranen in malaysië, thailand weet ik veel, taiwan, niet allemaal nee, nee melissa, kan niet, leuke drie minuten bij dumpert reten waarin het, racistische humor dat vinden we niet leuk
47213	52442	Nou, ik heb ook gelezen dat dit bejaardenhuis dus excuses heeft aangeboden.
52462	53503	Waarvoor?
53523	54164	Ja, voor dit.
54185	56769	Hij heeft een tijdvaste leven, hoezo moet je dan excuses aanbieden?
56789	62198	Ja, vind ik ook.
62218	66244	Zou het ook wel zo de mens zijn dat hij denkt dat het zijn dochter is?
66365	67607	Gast, we zitten hier in strijden.
67627	68428	Wissel, kom maar.
73049	75173	Stel je voor dat rapper Sjors hier had gezeten.
75193	76776	Hij heeft nu lang haar ook tegenwoordig.
76796	78359	Maar is dat nou echt?
78379	80462	Ik geloof er niet zo veel van als ik heel eerlijk ben.
80482	81224	Heel rapper Sjors?
81284	83728	Ik zweer dat je rapper Sjors is gewoon een typetje.
83748	84269	Netto?
84289	84870	Is totaal.
84890	90941	Het zou me echt niks verbazen als er over tien jaar gewoon een film komt met gewoon de grootste prank ooit.
90961	94247	Dan ga ik me met terugwerkende kracht toch nog aftrekken op dat Snickers filmpje.
99678	108975	Eerst mail van 06216 naar de toon Sjors, dit is rapper Sjors uit de toekomst.
108995	115567	Ik heb geen tijd om te praten, maar ik zeg, wat je ook doet, nooit meer iets met granen eten.
115607	117009	Let's go!
117650	120235	Ik had iets moeten bedenken voordat ik ervoor ging.
140009	159604	hallo en welkom bij... hallo en welkom bij de dumpert reten massagespecial met Andries Toenroen ja sorry voor dit, spijt me massagespecial, ik nodig de ene aziaten uit die weer onze bestand hebben, cool achter mij zien jullie staan Melissa
161103	164386	Ik heb nog nooit een massage gehad.
164406	165227	Blijf van me af.
165267	167770	Kun jij live massages geven volgende week?
167810	173636	Stuur dan een berichtje naar ne-dumpert.nl En dat had Melissa dus zo binnen ongeveer tien minuten gedaan.
173676	174977	Welkom, Melissa.
175017	175578	Dankjewel.
175658	179982	Ik heb een vraag over het redactionele proces wat hier aan vooraf ging.
180022	182845	Want was Melissa echt de eerste die mailde?
183165	187650	Of heb jij eerst alle Instagram profielen?
187630	191236	Voel je dat hij scorst?
191296	193119	Ik voel echt de spanning in René.
193159	196044	Zijn rug is helemaal gespannen, maar je hoeft helemaal niet bang te zijn.
196064	197266	Nee, dat is geen spanning.
197286	200631	Dat zijn keiharde spieren.
200651	201333	Kief eens.
201353	205259	Zit mijn auto te knippen?
