start	end	text
5971	11722	Waarom gebeurt dit nooit bij mij?
11782	16070	Zo!
16090	18454	Oh, joh!
18474	22261	Dat je gewoon onzeker gaat voelen over je lul, omdat ze een hele grote tong heeft.
22301	24385	Ik heb zelf een hele brede tong.
34439	42899	is dat eigenlijk ook een lero?
42919	53123	is dat een krachtige reten
57237	69472	want ze zegt ook twee dingen tegelijk hè, want ze heeft een bril dus ze zegt van nou, ik kan lezen in ieder geval, ik ben intelligent en ze heeft gewoon zo'n tong waarmee ze zegt van ja, baffen, alles bij elkaar, vijf reten.
69492	83029	Jij doet rare dingen met je vriendin man broer.
83049	83329	Ik doe er mee.
90498	96373	Dag dames en heren en welkom bij weer een gloednieuwe dumpert reten!
97298	126883	deze week met Sylvana en met Euw de vrijheid, de vrijheid die er echt in zit dat vind ik gewoon lekker ik sta vroeger op half vijf, soms om zes uur hier gaat de koeien melken Euw, wij kennen jou want we hebben jou eerder geïnterviewd zeker, ja bij de boerderij en dit vind ik natuurlijk gewoon hartstikke mooie beest ik voel ook de rust en de kalmte als ik in de buurt ben van deze koeien en toen daarna kwam de NPO koeien dansen is een heel mooi gezicht om naar te kijken het is echt een traditie dan hier in Nederland
130627	132129	Jij hebt ook nog een track gemaakt?
132149	132429	Ja man.
132590	133371	Holy shit.
133391	139920	We doen dit maandag tot maandag.
139940	144386	Ah, keert.
144406	145788	En dan keihard gas geven.
145848	146609	Ja, dat denk ik ook.
146629	147450	Hij gaat even dichterbij.
147470	148872	Hij pakt hem helemaal.
158960	160585	Maar wat voor merk auto was het?
160605	168127	Volgens mij was het de Golf.
168188	170033	Die was gewoon klaar.
178585	182896	Ja, ze willen hun schoenen niet vies maken, dus... Oh, wauw, jeetje.
182916	183397	Wat is dit?
183437	184319	Oh, kijk nou.
184359	185542	Denk me best gezellig daarin.
185562	187346	Leuk, goed gedaan, goede oplossing.
187366	187868	Waarom?
187888	189371	Zijn die mensen van suiker of zo?
189432	190935	Gast, je wilt toch niet nat worden?
190955	192499	Bro, is maar een klein beetje regen, man.
192519	193742	Droogt wel weer.
193722	209658	een paar dagen terug begon het niet eens hard te regenen en ik moest een hek open doen voor de koeien dus ik liep al vooruit en ineens vind ik een kalf in de regen en ik neem hem mee en het begint nog harder te regenen ja dan voel je je wel... shirt uit?
209718	212524	nee nee dat niet dan lopen lopen lopen lopen lopen
213128	216012	en dan zorgen dat de kalf je leven blijft.
216032	218155	Jij bent inderdaad een enorme boeretrie.
218175	219417	Doet je iets, dit verhaal?
219457	222701	Ja, ja, ik vind het wel sexy.
222882	228069	Oké, dankjewel.
228089	229571	Ja, dit is grappig.
229591	230132	Dit is vet.
230152	231293	Dit vind ik nou weer verschrikkelijk.
231313	232615	Ik heb het vroeger ook gedaan.
232635	234958	Jij wil wel met een hele tent om je heen lopen?
234978	236240	Ja, daarom blijf ik droog.
236260	239424	Maar niet... Jongen, ik wil niet met jou op vakantie.
239444	241007	Nee, ik ook niet met jou.
241047	241988	Godverdomme.
243858	252709	oh jee het regent ook in Rusland oh, er wordt iemand ontvoerd, vrees ik of gaat ie even tennissen?
252749	256553	is het een squasher, net als ik?
256573	260858	oh, hij geeft een paraplu!
260879	261179	dat is niet!
261199	268768	zie je, heb ik hem weer helemaal geethnisch profilieerd ik dacht, die gaat natuurlijk iemand overvallen maar nee veel goed bagger, nul reten
272714	298384	dit was het thema regen ik kan hier niet naar kijken man besef ik werk met dieren en schijt en alles
300102	326295	een vrouw met ook zo'n haar, dat gaat te ver bro, je mag van mij hebben wat je... maar... met een tandenborstel en dan gaat iemand ermee poetsen ik zat net in de trein en ik keek even op mijn LinkedIn, dat doe ik eigenlijk nooit en dan zag ik jou voorbijkomen met Willem-Alexander ja, dat klopt koning Willem-Alexander, die was daar dus ik liep zo in een gegeven moment, hij zegt
326748	334940	ja man ik zeg hoogheid hoe weet u wie ik ben je weet toch?
334981	343153	ja ja ik heb over je gelezen in de krant ik zeg oké ja mag ik met u op de foto en hij zegt ja tuurlijk ik zeg mag ik u aanraken
343133	345297	Ja, tuurlijk!
345577	349805	Nee, niet zo!
349825	354052	Hoe ik koninklijk ken is, je mag de koning niet aanraken zonder toestemming.
354093	355275	Dus ik vraag, mag ik haar aanraken?
355295	360644	En hij geeft me een knuffel en we maken het samen foto.
360724	361025	Oh ja, dit.
361045	363209	Dit is heel vet.
363229	366154	Wat is dit?
372142	382795	hij is wel echt goed, hij is echt goed kijk die comment van tiktok naar tok tok kunnen jullie dieren toevallig goed imiteren?
382815	384657	misschien in gedrag welk dier?
384677	385298	waar denk je aan?
385478	393087	ja je mag het zelf even filmen kun jij een kip nadoen?
405149	425942	het is een boer met veel vrijheid
429635	432821	Is dat dus een echte voorbijganger?
432841	434123	Gewoon een random persoon?
434805	436488	Of zit-ie ook in het complot?
436508	437329	Hoort-ie erbij?
437350	438993	Het zou leuker zijn als het niet zo is.
439013	439514	Daarom.
439554	442179	Dan verwacht ik dat je ook zijn reactie filmt.
442199	443080	Ja, dat is wel waar.
443100	450394	Dus ik denk, ja ik geef deze video drie.
