start	end	text
10628	11249	Kan je dat?
11269	12792	Kan je dat?
12812	14294	Nee, ik ben René.
14354	16959	René, open hem even.
16979	21967	Waarom heeft er nog niemand een voicecrack compilatie gemaakt van mij?
21987	25633	Dames en heren, niemand minder dan Gwen van Poorten.
28212	30036	wat is dit?
30056	30858	wat is dit?
30918	38916	het is niet leer, het is latex ja, namake latex het heeft een ander lak, het is lak heb je vanochtend een hele pot vaseline gebruikt?
39036	40981	ook om er in te komen?
41041	42103	kijk, luister
46893	50997	Ik wou mijn tanden gaan poetsen, vorige week na het dumpert reten 150.
51057	53139	Er zit wat tussen mijn tanden.
53159	54600	Allemaal confetti.
54620	57063	Oh my god, het stinkt altijd zo erg.
57083	59685	Oh, dit is echt zo club in Uden.
59705	62388	Vind je dat niet vies?
62408	63188	Oh, die rook.
63208	64910	Ik dacht, kut.
64930	65811	Nee, die rook.
65831	67813	Nee, ik vind het wel wat hebben eigenlijk.
67833	71096	Raakt het een beetje naar cyclon B?
72597	73018	Naar wat?
73038	74499	Naar wat?
74519	75600	Junk in the trunk.
76120	91417	Jezus.
91437	92238	Min 1 vandaag.
92358	95562	Er is dus 800 kudos, 880 en vandaag min 1.
95582	99746	Dus er is vandaag 1 reageurder naar deze pagina gekomen die heeft gedacht... Je vond het vrouwenvriendelijk.
99906	100607	Fuck dit man.
100627	101368	Weet je, ja.
104200	116735	ik vind het ook geen dansje meer op een gegeven moment hoor het is gewoon echt letterlijk alleen maar... het is een beetje zo, dit zo, komaan het is een beetje dit zo mag ik ook?
116755	132334	dat zou het wel beter maken ik voel wel een soort liefde tussen jullie, jij dringt maar even een slagje water ja ik kan dat beter maken ja is oké aandacht boeren, 1 reet nee, dikke billen, 5 reten ik heb ook eens een kers aan broek gedragen
132871	134193	Was geen succes.
134893	140820	Twee reten.
140860	142782	Duitser doet dikke doekoevolst.
142802	143924	Wiede in Hamburg.
143964	145886	Abends broer.
145906	147047	Wat is dat dan?
147067	148109	Geil.
148249	152794	Genau zo'n gummiband zoek ik schon die ganze woche.
152894	154376	Richtig nice.
154396	156398	Maar ik moet wel zeggen dat
156580	162909	dat sinds de Tweede Wereldoorlog dit wel een goed grapje is van een Duitser.
162990	163991	Ik wist het.
164111	164932	Je kent ons toch?
165113	166395	Ja, ik weet het.
166415	168518	En toch kom je elke keer weer terug.
168558	173846	Ja, maar iedere keer heb ik weer hoop dat het minder over Duitsers gaat.
173866	177331	Maar dat gebeurt dan vanaf het moment dat ik hier die lift uitstap.
177351	178933	Maar dat is niet erg.
178993	181978	Ik heb een latexbroek, jullie maken dit soort grappen.
182098	183039	Leuk filmpje.
183079	184782	Briefjes van 200, bestaat dat?
185420	188644	Ja, ik heb ze ook niet gezien Heb je wel zoveel geld gewoon in je klauwen gehad?
188825	206569	Natuurlijk jonge, ik werkte vroeger in een kast vriend Ja, ik werkte vroeger ook in een club en dan had je ook nog gewoon het geld dat geteld moest worden Genauzo aan een gommiband Genauzo aan een gommiband Zo, ik moet zeggen dat klinkt wel goed Ja, weet ik ook Kun je nog een paar van die zinnen in het Duits doen of?
206629	210134	Nee, kom niet verder dan Eindrijk!
210154	210294	Gaat u?
210314	214920	Richtig nice De Vrijms had ongelijk Niet iedereen houdt van Doekoe
215305	222382	Twee reten.
222442	225028	Wat is dat?
228035	228336	Nu is hij doof.
229463	255640	voor de letrouw dat het net niet goed gedeekt is toch mooi ik weet hoe het moet en jullie doen het goed deze school vind ik tantoo lauw maar het lijkt ook niet maar het is best gedaan deze school vind ik tantoo lauw ja nee tantoo lauw het is in ieder geval geen autotune bitches twee reten bij deze flow moest ik denken aan boef een reten
256177	259221	Ik zie dat jij bij een kerstdiner zit.
259241	260462	Wat heb je vorige week gedaan?
260482	263706	We hebben van legero naar hakenkruis gekregen.
263726	265588	Waar maken jullie grappen over dan?
265608	267190	Gek genoeg is mijn moeder mijn grootste fan.
267210	268031	Die kijkt echt alles.
268051	269733	Ja, maar dat heb ik ook.
269753	273418	Heb je dan ooit dat ze dan soms kijkt en je denkt... Hij mag geen godverdomme zeggen.
273458	274379	Ik mag niet vloeken.
274479	280446	Tegen de kerk is toch wel... Je mag niet vloeken, maar je mag wel gesistisch zijn.
280486	282388	Dat is mijn moeder in een notenbord.
282408	285492	Mijn moeder heeft dertig jaar op een zwarte school een deel samen gewerkt.
285472	286574	Nee, wat is dit?
286615	293871	Het is een mini olifantje.
293891	295053	Is dit echt een mini olifant?
295073	297198	Nee, nee, ik vind dit niet leuk.
297298	298220	Nee, dit is gewoon een hond, toch?
298240	299042	Dit is een kind.
299082	300325	Ik vind het echt zielig.
300355	315374	ik vind het, nee, het is niet zielig, ik denk dat een hond het wel... hij valt ook zo'n dramaatje ja, maar dat is echt zielig, maar je krijgt hem eigenlijk echt zielig ja, dit is gewoon zo iemand die ook met z'n hond zit met een dekertje erover om geld op te halen denk je nou echt dat dat hond het leuk vindt om zo'n masker op te hebben?
315394	324405	ja, ik vind het zo zielig, ik vind het zo lief dat is een agro van emotie, dat is een agro van emotie ik weet het ook niet meer
329752	331034	Je ging al bijna huilen.
331094	333037	Je ging al bijna huilen.
333057	336422	Oh my god, ik deed het hier niet.
336442	336882	Ik deed het hier niet.
336902	337343	Ik deed het hier niet.
337363	338084	Ik deed het hier niet.
338104	338725	Ik deed het hier niet.
338745	339286	Ik deed het hier niet.
339306	339807	Ik deed het hier niet.
339827	340347	Ik deed het hier niet.
340367	341008	Ik deed het hier niet.
341028	341469	Ik deed het hier niet.
341489	342210	Ik deed het hier niet.
342230	342691	Ik deed het hier niet.
342711	343212	Ik deed het hier niet.
343232	343792	Ik deed het hier niet.
343812	344413	Ik deed het hier niet.
344433	345815	Ik deed het hier niet.
345835	347638	Ik deed het hier niet.
347658	349601	Ik deed het hier niet.
349621	350082	Ik deed het hier niet.
350102	351003	Ik deed het hier niet.
351023	351744	Ik deed het hier niet.
351764	352265	Ik deed het hier niet.
352285	353246	Ik deed het hier niet.
353266	353927	Ik deed het hier niet.
353947	354628	Ik deed het hier niet.
354648	355089	Ik deed het hier niet.
355109	355550	Ik deed het hier niet.
355570	356010	Ik deed het hier niet.
356030	356471	Ik deed het hier niet.
356491	356972	Ik deed het hier niet.
356992	357673	Ik deed het hier niet.
357693	358133	Ik deed het hier niet.
358153	358594	Ik deed het hier niet.
358743	360625	serieus, heb je zo'n verzorger die?
360645	372781	ik kan gewoon beschadigd naar huis gaan deze keer nee, dat is echt waar jij zegt zoveel aansluitgevende dingen, dat is niet normaal volgende keer zitten we jou te helpen met die slurf op is een dolfijn aftrek, is dat aansluitgevend?
372821	378709	ik zie het gewoon niet aankomen, ik heb het over zwemmen met dolfijnen veel goed, bakker, een reet, mooie slurf
385490	395584	I remember when, I remember, I remember when I lost my mind Nee!
395604	396225	What the fuck?
396245	400250	Het is wel leuk om Nelson Mandela aan zijn jonge jaren te zien.
400270	403916	Nee, maar serieus, hij heeft er toch wel iets van weg, of niet?
403936	404897	Gewoon?
404917	409063	Zou je wel zeggen dat alle donkere mensen... Nee, ik wil juist zeggen, hij lijkt niet op LeBron James of zo, weet je wel?
409623	411246	Hij lijkt niet... Nee?
411286	411586	Jawel.
411606	412948	Op Nelson Mandela.
414717	424390	dit is wel long, het is wel echt verluifend deuk in je hoofd mensen slaan, twee reten ik hoop dat ze die gast die dit heeft gefilmd daarna ook een keer een tik hebben gegeven twee reten
427593	428895	De reageurdersronde.
428955	433623	We beginnen met Angus Dagnabbit en die schrijft hier was ik echt aan toe.
433663	436968	Ik weet niet wat het was vandaag, maar ik zat er even doorheen.
436988	438851	En dan komt Dumpertrate 150 online.
438891	442037	Heerlijk om me te vieren, ga ik straks even lekker fappen op Sylvana.
442057	443739	Godzamel, wat zie je er weer lekker uit, meid.
443779	446023	Op naar de volgende 150.
446223	468332	maar waarom ik deze heb geselecteerd is, een dag later, dag nap, het is weer terug en dan zegt hij volgende ochtend, ik weet niet waarom ik dit gisteren zei en ik wil hierbij Sylvana mijn oprecht excuses maken soms zeg ik gewoon fucked up shit zonder reden, ik probeer hier aan te werken je doet het fantastisch Sylvana, ga vooral zo door don't drink en reageer of dickpick
468312	469113	Ja.
469554	470335	Ik pik verstandig.
470355	472237	Maar lief dat hij zo'n excuus aanbiedt en terecht.
472277	472838	Ja.
472858	474681	Goed bezig, Angus, dag nabbit.
474701	477104	Hardhead schrijft hoi, Rooje, Sylvana en Nick.
477144	481009	Ik merkte van die Rooje dat ze nog een gehandicapte nodig hebben voor de live-tream.
481029	481831	Voor de top 2000.
481891	485616	Nou zit ik toevallig in een rolstoel en als jullie hulp nodig hebben, wil ik het graag weten.
485636	487198	Succes, PS, ik kwel niet.
487218	488199	Maar het is wel leuk, serieus.
488239	491384	Ja, maar als je dan met één gehandicapte begint, dan kan je bezig blijven.
491464	492045	Ja, dat is wel waar.
492085	493727	Hardhead, lekker bezig.
493747	495589	Maar bedankt, want we hebben je toch niet nodig.
495629	497492	En veel plezier in je rolstoel in je kutleven.
499987	501108	Grapje!
501148	506615	Kamerhoudster schrijft, heeft iemand al gevraagd wat de neuk er met het geluid aan de hand is?
506675	509518	Nee, er was één stukje dat jij aankondigd.
509598	511360	Ja, die ging dubbel.
511380	514904	Dat was natuurlijk niet mijn schuld, dat was de schuld van Mini Nick.
514964	520991	We gaan de beste filmpjes bekijken van het afgelopen jaar, die ook al een dubbrete hebben gezeten.
521052	521552	Snap je?
521592	525276	Ja, we wouden ook tijd voor jullie dat klaar was, dus we moesten snel.
525296	526618	Lang verhaal, kort, niks zuigt.
526598	531424	Topreageursal bij dumpertrete 1 was het zijn ook een stijl losers bij elkaar.
531464	533646	Ik vond ze toen al awesome, zegt PsyHorse.
533666	534687	Ze zijn al steeds.
534728	538152	Ja, er waren heel veel reageurders die vonden het echt superkut.
538272	539053	Ja, maar dat was het ook.
539093	539733	Het was ook wel.
539753	540634	En het is nu ook vaak nog.
540654	542296	Ik ben toch wel blij dat we het door hebben gezet.
542356	545120	Even ter info over Lucy zegt Renoworld.
545140	548223	Lucy was een van de eerste gevonden apen die rechtop liepen.
548243	550546	Dus Maxime zat aardig in de buurt.
550566	552208	En Maxime is ook snimmer dan je denkt.
552228	556453	GucciSniffer88 schrijft die Stefan Kazan is echt een...
561277	562419	dankjewel!
563220	584108	dan had je geen permaban aan je broek gehad wifi kabel verhuur schrijft godverdomme kwint nog steeds vijf reten geven en maar vier vingers opsteken na al die tijd maak je me nog steeds helemaal gek heeft ook wel een homoerotisch kantje hoe die dat schrijft moet een beetje aan Marco Borsato denken zeg maar wat?
584128	586191	je maakt me gek?
586211	588955	ja ik heb ook het gevoel dat het wel positief is
589407	610150	Aapje Reeguur schrijft, hallo beste dumpert vrienden, hier Rick van aflevering 149 Ik had daar mijn verhaal over dat ik op een groep woon, niet zo'n groep als Ben en Huurt
611648	634416	maar we kregen twee dagen later, na de uitzending een andere invaller, Albert die mij per direct vroeg of ik in de reageurdersronde zat waarop ik ja antwoordde nu blijkt dat Albert ook een reageurder is toen hebben wij de volgende ochtend om acht uur de top 5 gekeken en vandaag dumpert reed 150 omdat hij nog een keer moest invallen mocht Albert dit zien, je bent een mooie kerel en onze homoseksuele relatie begint goed te groeien, goed regent
634396	644930	Albert, ik zou wel oppassen met relaties en machtsposities en zo, zeker weet je wel, die Rick die op een groep zit, dat vind ik wel eng.
644950	646672	Dat kan toch niet, eigenlijk?
646692	650998	Ford weet, is die begeleider, heeft hij meerdere relaties met meerdere mensen in de groep?
651038	652180	Bijvoorbeeld, ja.
652220	653642	Ik weet ook niet of ik dit nog geloof.
653662	654623	Het ligt wel heel dik bovenop, hè?
654643	655785	Het ligt een beetje dik bovenop.
655805	659830	Rick, stuur even een foto van jezelf met Albert, met Claire aan.
661717	664500	of uit, stuur het naar renéetumpertreten.nl.
664540	672629	Altijd streepje Guus schrijft, ik wil bij deze een compliment geven aan de stageloper die zo creatief was om de vlaggetjes dus danig op te hangen dat er 150 staat.
672649	675171	Goed gedaan.
675191	676893	Biemke, goed gedaan.
676913	681298	Ze loopt trouwens geen stage meer, maar ze is tegenwoordig onze productie directrice.
681338	681818	Nou.
681858	683860	Ja, want wij zetten graag vrouwen aan de tol.
683901	685823	Ja.
685843	687184	Het moet wel een beetje luid aan het worden.
691990	704371	Zo, ik probeer het nu eens en dan kijken we eens in wat ik me verwandel.
704391	707156	Hallo, wat is er hier los?
707196	710242	Wat is dit voor een geweldig drink?
710282	714168	Zo, wat is er alleen bij al die... Wat vind jij hiervan?
714188	714589	Dat is toch grappig.
715902	733084	nou nog je kijk documentaire van hoe Hitler het allemaal heeft opgebouwd
734718	740149	Nazi megastructure!
740169	741351	Assistentalus!
741431	743055	Ik had gezien hoe ze Auschwitz hadden opgebouwd.
743235	746922	Het was eigenlijk helemaal niet bedoeld als vernietigingskamp.
747343	751011	Dus ze kunnen ook nog heel goed improviseren.
751051	752013	Ganz geil.
752033	752914	Drie reten.
752935	755440	Ik vind dit dus echt niet kunnen.
755460	755680	Vijf reten.
767118	785228	de pluspunten zijn gewoon dat het onverwacht is en het geweld en gewoon de plot twist dat heb ik al gezegd het slechte is vvs en hoe loopt het nou af is die gozer weet je wel hoe is die er aan toe dat wil ik graag weten
786372	796382	Wij zijn die sneuje mensen die echter nadat we dood gaan dat wij hier over blijven zuiken terwijl de rest denkt, hè, wat is dat voor een poortrad mode?
796402	797023	Ze hebben ons gewoon ingeraald.
797043	798264	Ja, want ze hebben die oude zuikers.
798284	800586	De opa van René, die had het vroeger over de Tweede Wereld ook al.
800886	807353	Maar als René met zijn kleinkinderen praat, dan zegt hij, vroeger had het moeilijk.
807373	807913	Ja, dat is wel echt waar.
807933	810396	Als jij laatst op de bed wordt en in bed ligt, dan is dit waar jij ook bent.
810416	813099	Dit is zeg maar het grote wereldprobleem geweest voor René.
813119	814540	Bij opa moet je je telefoon altijd draaien.
814520	823734	Ik denk dat dit wel een vrij hoge tandartsrekening wordt.
823754	823974	Vijf reten.
823994	827980	Ik denk dat hij ook wel een hele goede stoelgang heeft.
828000	831225	Oh, ik haat woordgrappen.
831245	831466	Twee reten.
831486	833248	Is dit de Sylvana-compensatie?
833268	836573	Ja, dit is even voor Sylvana.
836593	841000	Pas oen op, weet ik wel.
841638	869248	kijk echt een leuk hoedje op oh die zit te drukken oh kijk oh fuck is toch leuk zo'n goede pains op zich maar het ergste vind ik nog dat hij wat heeft hij op zijn hoofd ja inderdaad er zit een soort van dode kameel in zijn nek een leeuw nee een leeuw er zit iemand met een kip op de hoofd
871017	900265	het is ook echt zoals we allebei zo huilend zijn, dit moesten we vandaag ook nog doen het is helemaal geen set, jij wil dit, ik heb eigenlijk helemaal geen zin een applaus voor die gast, want zoveel suipen en dan nog gewoon zo'n harde lul krijgen is moeilijk maar hoe erg is het dat je dan, dat dit dan viral gaat
900633	904038	Als het dan bij mij zou gebeuren, dan moet je het dan ook gewoon ownen.
904058	905760	Je moet ook gewoon zelf posten.
906060	906981	Dit heb ik gedaan.
907722	909224	Dit heb ik gedaan.
909284	911487	Dit ben ik en dit heb ik gedaan.
911527	914511	Ja, pacha slaan terwijl je bier drinkt.
914531	915212	Vijf reten.
915252	917375	Dit filmpje mist wel een logisch einde.
918076	918296	Drie reten.
918337	921721	Dan kan het eil er wel voor spellen.
921741	928390	Het moet de beste part zijn die ik ooit gezien heb.
928410	930032	Zo ik niet zie.
930772	931614	Zit er maar 89 alweer?
931634	939508	Wat de... Maar dit is wel lastig te editen.
939528	946041	Misschien moeten we even duidelijk een paar keer... Oh!
946061	948425	Oh!
948445	948706	Oh!
948726	948786	Oh!
948806	948966	Oh shit!
956776	958339	Goeie edit, Nick.
958419	959400	Vier reten.
959561	963788	We hebben ook tijd nu om dingen ertussen door te gooien nog steeds, hè.
963868	965791	Speedboat.
965831	966873	Speedboat.
966913	971019	Speedboat.
971039	971320	Cruise ship.
971340	973884	René's gezicht gaat nu veranderen naar Johnny Depp.
976989	978972	Dit was Dumpert reten 151.
979033	981677	Wij zijn volgende week gewoon weer hartstikke terug.
981717	983560	Doei!
983928	988438	wil je nog even op m'n broek zitten?
988859	995254	dat is de vroege tijd, de vroege ik weet niet, het is echt net alsof je vlees zit of je er allemaal aan het maken bent
