start	end	text
7726	24925	vijf, vijf, vijf, vijf
25698	27079	Ze heeft gewoon niks door.
27139	29702	Ja, die dude maakt het wel af hoor.
29782	31743	Hij staat ook helemaal... Yes!
31763	32324	Yes!
32424	32864	Yes!
33004	33705	Eindelijk!
34145	35166	Yes!
35186	38689	Ik heb een kut gezien, yeah!
38730	39370	Dit was leuk.
39410	40691	En ze hebben een kut gezien.
40731	43254	Nou jongens, vijf reten voor jullie.
43314	45315	Ik heb vooral erg genoten van de muziek.
45375	53983	Drie reten.
54908	73711	dit ziet er wel relatief oud uit ja, dit ziet er visueel zo fucking grappig uit wielen die gewoon lekker autonoom gaan, ideaal vier reten wat doe je nou?
73751	78297	ja wat doe je inderdaad, een goede vraag was dit let op hoe die uit hier vanaf komt, een twee?
78337	81000	hoepa!
81021	83804	wat kan je er hier vanaf doen of niet?
83824	84645	ja, maar
84828	96677	ik vind wel dat naarmate hij harder gaat schreeuwen wordt zijn argument wel sterker rustig maar
98277	101345	Volgens mij ziet hij eruit als een kandidaat voor een Johnny De Mol programma.
101405	103049	Ik vind het echt een leuk filmpje.
103149	106537	Gewoon een leuk, fijn, positief, blij filmpje.
106597	108262	Vier reten.
108683	115098	Ik ben blij dat we nu zo ver zijn dat we niet meer op de linkerbaan stil gaan staan om ruzie uit te vechten, maar dat we in ieder geval wachten tot we op de oprit staan.
115159	115780	Vier reten ook.
116536	119423	om even nog op het Pokémon verhaal terug te komen.
119483	122189	Hij praat alsof hij een beugel in heeft, maar hij heeft helemaal geen beugel in.
122209	125076	Jullie zijn allemaal vieze stelletje losers, man.
125116	126760	Wat zijn jullie, kinderen van twee?
126800	129687	Maar ik vind toch, hij maakt een paar sterke punten weer.
129707	133937	Absoluut, nee, nee, ik ben het eens met die man met z'n leren petje en die pin-up op zijn shirt.
133917	147943	godverdomme door een telefoontje kijken, oh, oh daar hebben we een pokémon, pokémon, we gaan een pokémon pakken, we gaan een pokémon, oh yeah, ik heb een pokémon gevangen ze staan ook bij mij vaak voor de deur nu hè, dan zie ik allemaal gasten zo voor de deur staan, dan lopen ze voor mijn deur langs en dan zie ik ze dit doen zo
150117	154065	we hebben ze er blijkbaar in gevangen die voor mijn deur stond wie denk je dat je bent?
154085	155608	wie denk je dat je motherfucker bent?
155748	156690	ash ofzo?
156910	157110	ash?
157171	171518	je wordt het toch, je wordt ash niet niemand kan de echte ash gevangen motherfuckers kijk het voordeel is kinderen gaan weer naar buiten nu het nadeel is dat ze vervolgens op het spoor lopen om een snorlax te zoeken nog even komt het smurfendorp, zien we daar smurfs?
