start	end	text
31	23963	oh my lord oh my lord oh that's your arm holy shit
25732	28779	Ah, het is priljant, het is perfect!
28839	30342	Het was de perfecte editpunt.
30362	31725	Holy shit!
31745	37878	Oh, dat is jouw arm!
37898	38299	Dat is jouw arm!
38319	38480	Oh shit!
38500	40925	Dat is jouw arm, ja.
40945	41967	Bedankt, Mary!
41987	42408	God damn it!
42428	43791	Bedankt voor uw constructieve criticisme.
45155	49225	dat was geweldig, dit is mijn favoriet tot nu toe.
49245	49486	Ja.
49506	52733	Reciëntie bias, maar het is een vijf voor mij.
52894	54197	Het is een vijf voor mij ook.
54217	62016	Maar nogmaals, film het horizontaal, alsjeblieft.
72593	74818	So let me introduce you properly.
75540	77685	Hello, welkom to dumpert reten.
77785	83599	It's my great honor to introduce to you all Chris Turner.
84946	88952	We zijn aan het kloppen, want er zijn er alleen drie van ons in.
88972	90615	En we wilden het meer enthousiast kloppen.
90755	101732	We filmen dit op een zaterdag, want Chris, je weet, we zouden leuk zijn om een commercial voor je te doen en te zeggen, ga met Chris vanavond, maar je bent al terug in de Amerikaanse wereld.
101752	102373	Ja, al is het verkocht.
102393	104216	Maar je is verkocht, dus het maakt niet uit.
104236	108883	Je kunt Chris kennen, omdat we wat video's van Chris hebben op onze website.
108903	109063	Oh echt?
109143	109924	Ja, we doen dat.
110065	112228	Ik doe freestyle rap, dat is rap waar je je make-up in doet.
112248	113670	Wat is dat geluid?
115608	116491	Hey, dat is mij!
116511	118318	Ja, ja, sorry voor het stelen van je content.
118558	118739	Genuus!
118759	123576	Ik heb het voor 22 jaar gedaan en ik heb nooit zo onverstaanbaar gevoerd als iemand die zegt...
125125	131334	Je geweldige talent is freestyle rap.
131434	135099	Is dat waar?
135360	137463	Ja, ik maak rap.
137503	138985	Dat is waar.
139005	146556	Dus ik neem dingen uit het publiek en ik improviseer een rap.
146576	148719	Wat is de Nederlandse woord voor freestyle rap?
148739	149500	Freestyle rap.
149540	150741	Dat is het woord.
150782	152905	Dat is geweldig, ik spreek Duits.
152925	153225	Ja, dat doe je.
156125	177248	Ik denk dat dit erg snel gaat spullen rond.
177268	179290	Zo far hebben ze veel plezier, toch?
179350	180411	Het gaat te goed.
186584	193072	We moeten ervaren dat het mannen in een tuin zijn, schilderen en ervaren.
193172	197598	Ik denk dat de commenten iets zijn als, dit is alles wat we willen.
197698	200141	Ja, dit is de wereld zonder vrouwen.
200481	202864	Dit is Andrew Tate's droom.
203485	204466	Dit is misschien hem.
204486	205708	Misschien is het Andrew en Tristan.
205728	207370	Dit is wat ze in Roemenië opgeruimd zijn.
207450	208751	Er is niet veel te doen.
208791	211815	Spannende cirkels, schakelen rond en dan schakelen we samen.
215997	219067	Ik denk dat de meeste mannen ooit samen gereden hebben.
219147	223019	Niet als... Sorry, is dit wat dit show gaat worden?
223100	227273	Het is gewoon een soft lead-up tot een soort, je weet, meestere masturbatie.
231978	254948	Back in the 80's, you didn't have like you porn or anything like it so I had canal plus and they would only show like this Yugoslavian porn movies after midnight and there wasn't any other source you know so if I would be with my friends we would just watch it together
255417	258002	Dit is wat zou gebeuren in de U.K.
258183	263994	Tijdens midnacht zou er een vijf minuten preview zijn.
264014	275297	Ze zouden vijf minuten gratis dingen geven, dus zou je met je vrienden wachten tot midnacht, en dan zou het lukken en je zou zeggen, oké, snel!
275377	277341	Ik weet niet wat je aan het praten bent.
280662	283506	We gaan later filmen, video's.
283786	289054	Dus je had een grote scherm met alle kanalen in een heel klein scherm.
289074	296404	En dan had je een kleine, 20 pixel en daar zou de X-rated kanaal zijn.
296484	298587	Dus we zouden zitten voor de tv.
300102	307556	Where as the smart person would sit behind his friends, see them all leaning over, be like, that's pretty sexy from behind.
307616	314148	So the game we used to play at school, I went to an all boys school, in chemistry lessons we'd play a thing called boner race.
314168	320319	So you'd all be sat facing the front of the class, there was a desk in front of you so no one could see from down here.
320399	323545	And we all sat in one row, the aim is you have to get
323525	328279	een boner, zonder jezelf te toetsen of je ogen te sluiten.
328299	331688	Dus wat hij zou doen om de wedstrijd te beginnen is, je zou moeten proberen dat je niet te toetsen was.
331708	334336	Dus hij zou zijn handen op het bord van de tafel zetten, zo zou hij gaan.
334356	336522	Zo, slap hem en dan kijk er rond en dan zou iedereen moeten gaan.
338071	350919	en dan moet je gewoon proberen om te hard te worden en wie er eerst hard is, gewoon door het niet te sluiten of te denken, weet je, zoiets, zou dan gewoon terugkijken en z'n trouwtjes zoeken over hun leken om te zeggen, kijk eens naar dat, kijk eens naar dat.
350939	351821	En iedereen zou zeggen, aahhh.
351841	352122	Goddamnit.
352142	353224	Jimmy heeft ons weer gehaald.
353245	353305	Ja.
353325	354848	Ik dacht altijd dat...
354828	368848	de Engels of de Briten zijn zo, weet je, wanneer je naar school gaat, moet je de uniform vormen en het is jongens en het is jongens afgebreid en dan gaan ze naar Spanje of Ibiza op vakantie en het is gewoon... Karnage.
368988	371051	Oh, geen limitaal, weet je.
371431	372533	Ja.
372673	374416	Omdat ze teruggehouden zijn in hun eigen land.
374436	379523	Ik denk dat het gewoon, wanneer we buiten zijn, we gewoon, zo snel als er zon is, we onze mening vergeten.
379583	380464	Ja, je zegt het.
381406	396304	O, o, o, is hij, is hij met iemand op een vliegtuig?
396324	407838	Ja, dus hij is al dronken.
407858	409700	Hij zegt dat ik hem niet mag laten vliegen?
409720	411042	Ik denk dat hij van waar ik vroeg.
412760	419226	je hoort het eigenlijk, ja
421973	444083	oh man ja dat is de grondpersoneel hij is gewoon ziek van het ik wil niet schrikken op de brits, speciaal vandaag, ik wil het niet, maar mensen als deze, we hebben hem in holland ook gewoon van
444063	446166	Smashing off the plane, get out.
446186	447488	Where's the security?
447508	459586	This goes on for two minutes, where's the security?
459646	462130	He's like a toddler.
462210	464113	He's having an actual tantrum.
464650	467974	Je kunt niet aan me stijgen, je kleine fokken nobben.
467994	470377	Is er geen gun in Plains voor de kapitein?
470397	472119	Er is een flaregun.
472139	472419	Ja.
472459	480649	En hij is zo geboezed op dat je hem waarschijnlijk niet wilt zien.
480669	485916	Ja, en hij wil de verschil niet zien.
485936	487117	Oh man, dat... Zo veel opties.
487137	487618	Je kleine fokken nobben.
487638	489981	Maar het is nog steeds een geweldige video.
490121	493645	Omdat het ons een window geeft op vandaagse...
494722	498870	world, today's way of life in England.
498890	501435	We all love England and they're Brits.
501495	504441	Vijf reten.
504461	506184	Mama is even weg, mom is gone.
506224	514941	Already great.
516676	520482	Oh, maar het is fake.
520502	520883	Ja, het is WWE.
520943	521745	Ze hebben het uitgehaald.
521765	534967	En dan komt het weer met een glijbaan!
534987	535127	Oh nee!
535147	535428	Naar de brief!
535448	537091	En weer naar de spelen!
537151	538012	En de kracht van Gunnar Goffman!
538032	538713	En hij gaat voor de powerbar!
538733	538954	Oh nee!
538974	539374	Het is nog leuk.
539435	539995	Nou, leuk, het is nog leuk.
540015	541258	Dat zie je, deze kinderen moeten op de vliegtuig zijn.
541278	542139	Ja.
542159	542700	In het centrum van de ring.
544672	545934	Dit is goede editie.
546154	550761	Om daar de geluid op te hebben is echt smart.
550781	551962	Zie je dat?
551982	553505	Dat deel aan het einde.
