start	end	text
31	6550	Nou mensen, het is al bijna twaalf uur dus, ja, alsjeblieft.
6610	10300	Ik heb een pak gezellig gemaakt.
10320	10922	Wat?
10942	14211	Je hebt een pak gezellig gemaakt.
14231	14432	Juist, ja.
14452	14632	Ja, vier.
14653	14833	Tuurlijk.
23521	44854	een, twee, drie, vier, vijf, een, twee, drie, vier, vijf
66434	68197	Ik knoe je!
68217	72125	Dat is allemaal ons beluid!
72145	73287	Stop je nou op mijn bier!
73688	76172	Oh, lekker hoor!
76192	76733	Mito, Mito!
76753	80160	Dames en heren, Jan Bichel!
80180	82524	Hoe gaat het met je?
82544	87273	Toch kan dat pas zeggen, heel goed!
87293	87634	Nou, wat ben jij?
87654	88115	Je komt van de camping?
88135	88636	Ja, ja!
88656	89978	Niek, niek, geen bakter, geen bakter!
93704	95687	ja!
95707	96127	hoe is het daar?
96147	96628	keigezellig!
96668	97028	ja?
97089	103637	ik moet eerlijk zeggen dat is een kinderkamping, maar als het vakantie is en die kinderen zitten daar dan heb ik een probleem mee!
103657	104438	ja, dat is het zo!
104458	107683	dan ben ik net de rat gevangen van allemaal een boeie kok maar loop!
107703	109325	al die keimen achter me!
109345	110827	niet ik ben moeke mee!
110907	118497	de vorige keer wacht ik in de vliegtent in gelopen ik zeg, toen is er allemaal een huisje, ik zeg, dan stuur ik ze gelijk naar huis!
118477	124868	en we reten, en dan ben je er door vanaf en dan komt het service, al die oude, oh nou bedankt voor dat ijsje, oh dit en dat.
124908	127813	En dan moet je pils geven, of niet?
127853	134424	Jan, wij waren samen, Sofane en ik, in Breda bij het 538 Koningsfeest en jij was eigenlijk gewoon de klapper van de dag.
134444	136768	Dus toen dachten we, die kerel moeten we hebben in onze show.
136788	142077	Jan, je hebt het nummer Onze Moeder Zee nog, dat is echt wel de super mega mega hit.
142117	143860	Jij zingt wel zelf, of niet?
143840	148109	Je hebt geen shadowzinger, zeg maar, een schaduwzanger.
148149	150194	Oh, jij bedoelt nou net als Rob Krems.
150274	151015	Nee, die heb ik niet.
151035	151877	Ik doe het allemaal zelf.
151917	154523	Ik doe wel mijn band zeventy procent meezingen.
154543	156467	Sommige target ik, maar weet je wat het is?
156487	161839	Mensen praten allemaal tegen me en ik ben nou met zoveel mensen bezig dat ik af en toe blij ben dat ik een beetje meezing.
161859	163823	Dan denk ik van, wat een couplet was ik nou, jongen.
163803	172755	ik kom door, ik kom door een half uur, ik zeg mannen, ik weet jullie willen feest, ik zeg maar één ding, ik feest gewoon met jullie meenemen.
172775	176841	Eerst toch, door de Bendeveur.
176861	177382	Kijk, Bendeveur.
177402	179244	Ja, ik geef gewoon een aardig woordje over de grens.
179264	180706	Dat dacht ik.
180726	180827	Jaha.
180847	183350	Maar ik geef zo echt een beetje een aardig woordje over de grens.
183410	184492	Ja, ja, ja.
184512	184732	Oké.
184892	185473	Ik geef zo dat echt.
194482	210120	Today only do a silly dance walking in, if we like it, vijf euro gratis benzine.
210180	211662	Vind ik leuk.
211722	212623	Vind ik leuk.
212643	215506	Vind ik leuk.
215526	216768	Vind ik leuk.
216788	218490	Vind ik leuk.
218510	218790	Vind ik leuk.
218810	219070	Vind ik leuk.
219090	219591	Vind ik leuk.
219611	220472	Vind ik leuk.
233058	236463	Hoe zou jij aankomen dansen ermee?
236483	237224	Een steekmes?
237244	245016	Nou, tja.
245036	245176	Nou.
245196	248060	Ik kwam vijf keer er binnen, want anders is mijn techniek een tientje keer er binnen.
248080	249182	Helemaal gek weet je niet.
249202	256313	En ik kwam vijf keer er binnen tot mijn tape vol is en ik ben bedankt hè.
256333	259518	Dus ik vind het een goede reclame, alleen ja, je verdient er niks op.
259538	259858	Maar wat mag je?
263045	264888	dus eh, moet ik een rating gegeven?
264908	273301	ja, laten we dat doen, twee lauwe poep, twee reten gezondheid wat is dit?
273341	287563	Spiderman?
287583	290908	ahhh nee, ahhh nee zijn beesten schuiven helemaal
293437	295240	maar is hij nou blond of grijs?
295480	318837	blond ik denk dat hij blond is gelukkig is de scheidsrechter wel snel erbij ik had in het vliegtuig gezeten, ik kreeg ook vet vermoeide benen waar de jet lags
322529	328619	Jij bent de grappigste thuis hè, en de nergste!
328639	329880	Feyenoordse kampioen!
330261	340497	I love you!
341439	350713	Te amo!
360920	370192	die is al twintig jaar niet zo nat geweest dat is toch leuk?
370212	385392	ja, dat is mooi ik zie geen gelukkige mensen jonge dan in een met gebroken veen dan zie ik niet van dit ik zou haar op zich ook wel van zo'n van dat ding willen zien vallen dat lijkt me ook wel fout ze is al een keer gevallen, ze heeft nog niks aan het ding
387076	393888	Ik heb een neefje van vier en die kwam bij me zondag en die zei tante, ik zei ja lieverd, ik heb mijn konijn vermoord.
393928	395171	Ik zei wat?
395191	396593	Ik zei ik heb mijn konijn vermoord.
396653	397334	Wat?
397375	403746	Ik zei oh ik dacht even dat je zei ik ben van Feyenoord.
403806	407633	Giena komt terug.
408018	418630	maar hier achter mij staat Tim en Tim, grote vriend, ja je zit even te kijken maar even aandacht dus je bent live op TV Rijvold namelijk, ja want waar kom jij vandaan Tim?
418650	418790	zeg je?
418810	419611	wat gebeurt hier?
419631	421353	waar kom jij vandaan?
421373	425797	Amsterdam waarom ben je voor Feyenoord?
425817	434667	omdat eigenlijk is mijn vader ook voor Feyenoord en hij heeft me goed opgevoed hij heeft me goed opgevoed, best wel geweldig ik heb de Feyenoords griep of weet ze dat je hier bent?
434647	439803	Nee, gewoon gezellig ziek ben, maar ze weten vast wel dat ik er ben.
439823	440004	Maar!
440024	441428	Dit vind ik geweldig!
441449	446344	Z'n kindje komt uit Amsterdam, is in Feyenoord, wacht met vader en moeder en dan ben je goed op!
450357	459796	je zit zo te genieten, er worden hier allerlei beelden getoond van doelpunten ja, en hij ziet er ook nog uit als Jeroen Pauw je zit helemaal niet te luisteren naar wat ik zeg he?
459836	465407	niet helemaal niet zit ik wel dichtbij, ik kan nou al ja, en jammer van die Downy daarachter, twee reten en hoe weet je het?
465427	467532	helemaal niets?
467552	467792	in Amsterdam
