start	end	text
31	7301	Welkom bij alweer een nieuwe dumpert reten, met helemaal uit België, Maurice.
7321	8343	Hallo, dankjewel.
8363	11928	Wil je een keer mogen zijn, lieve Nederlandse gen.
11948	14251	En Renée en Savannah.
14491	15713	Specifiek bedankt ook.
15733	19078	Ik had eigenlijk een rechtstreekse bus, maar ik bleef fout opstappen.
19098	21381	Nee, Maurice, ik word jou zo aandoenlijk.
22255	24199	Doe me toch denken aan je broer.
24219	25581	Wat?
25681	27024	Komt je broer ook uit België?
27044	29368	Wat hoort je denken aan mijn broer?
29408	31232	Dat ronde hoofd voornamelijk.
31272	32955	Een snor en lang haar.
33276	35941	Jij bent echt heel stigmatiserend.
35961	39387	Maries, je bent een megahit geweest en nog steeds natuurlijk op Dumpert.
39367	41731	Dat is geheel toevallig gebeurd, denk ik.
42011	42953	Ben jij vlogs?
42973	43894	Hallo, ben Maurice.
43914	51025	Mensen, sinds mijn doorbraak op het video-sharing-platform van Dumpert heb ik veel Nederlandse gewolgers bijgekregen.
51045	53169	Ik ga vandaag ook een opnieuw in Amsterdam.
53189	54952	En je hebt ook nog het Anne Frankhuis?
54972	57095	Ja, want die is daar toch niet meer, denk ik.
57115	57696	Nee, dat is waar.
57676	70791	hier begint het, dit is waar jullie tosti zeggen en wij belgen zeggen hier croque monsieur, dat betekent cotante meneer het volgende is grapefruit voor de nederlanders en wij zeggen pompo
71277	79610	Als laatste zeggen jullie als Nederlanders tegen heineken bier en wij zeggen kattenpis.
79630	81613	Maar hou je niet van heineken bier?
81673	85058	Ik drink geen bier meer sinds carnaval vorig jaar.
85078	86340	Toen hebben we een incident gehad.
86360	86881	Wat dan?
86941	92630	Ik ben daarna nog met de step gaan rijden en dat was, we hebben een verschrikkelijk accident gehad.
92650	92830	Oh chips.
93805	94988	Nee, wat?
95048	95489	Chips.
95569	96451	Chips.
96491	98154	Het is shit, maar dan op z'n vries.
98896	102183	Jullie hebben een raar accent.
102203	104969	Monsieur, dat betekent crotante meneer.
104989	107435	René, hoeveel reten geef je mij een filmpje?
107455	107996	Vier.
108036	109179	Vier reten?
109219	109900	Ja.
109940	110802	Dat is niet slecht.
114545	116247	Yo, iedereen.
116287	117708	Ken jij rapper Sjors?
117748	120611	Ja, hij moet met nog 50 euro.
120631	124615	Ik heb wordt een videobotschap besteld, maar heeft hij nooit in gesproken.
124635	127678	Zijn jullie weer klaar voor een nieuwe video?
127718	127999	Ja.
128039	132263	Yeah, let's go.
132323	137508	Yeah, let's go.
