start	end	text
385	14800	wat gebeurt er allemaal joh die band wordt in het begin, ooooh die band komt terug
15438	20245	Oh, en de tunnel gaat omhoog, dus dan komt de band weer omlaag, want zo is zwaartekracht.
20265	21406	Ja.
21647	28456	En dan een grote, grote zwarte band in zijn kont.
28556	29177	Vijf.
29237	31681	Ja, zeker.
32061	32962	Nee, nat.
33003	41935	In de water.
52563	57551	Toen dumpert reten begon in 2014 waren Jasper en Herre zes.
57571	62860	Weet je, dumpert reten, ja, want ik was heel klein toen ik dat voor het eerst voorbij zag komen op YouTube.
62880	64263	Toen had jij nog niet die snor.
64303	67368	Ik was zo dyslectisch dat ik altijd las dumperteren.
67428	70493	Ik dacht, oh, dus ik dacht, ik dacht dumperteren, wat is dat nou?
70513	73559	Ik dacht, oh, dat zijn waarschijnlijk gasten die gaan mediteren ofzo.
73599	78587	Dus ik heb dat gewoon twee jaar lang nooit aangeklikt, omdat ik dacht, ja, dat is voor gare mediterkcontent.
78567	105823	en toen klikte ik voor het eerst aan en toen zeiden jullie dumpert reten en toen pas dacht ik aha dit gaat helemaal niet over mediteren dat was heel teleurgesteld herre en jesper ik zal ze nu goed introduceren gooi een muziekje erin nieuw sticker alles herre en jesper zijn bekend geworden omdat ze met een tandem van hier helemaal naar marokko zijn gefietst jaren vorig jaar
107322	125611	We hebben daar filmpjes van gezien op onder andere het Jeugdjournaal want dat kijk ik wel Wij zijn Herre en Jesper en wij gaan met deze tanden naar Marokko fietsen En daar hebben de vrienden een goede reden voor Want het eigenlijk wel heel grappig is Dit begon een beetje vanuit jullie gewoon blije puber brein Jullie dachten... Ja hoe is dit ontstaan?
125692	129077	Wij werkten samen als oplichters van een salesbedrijf
129057	158929	ja, dan gingen we mensen kranten abonnementen verkopen van drie jaar waar ze niet op zaten te wachten en ze hebben elkaar leren kennen, ze hebben een band geschept en we waren stoned, we hadden gezin om te werken dus we gingen een jointje roken en dan op die kranten zitten en zeiden ze ja, ik wil naar Marokko fietsen, maar niemand wil mee ik zei gast, ik wil wel mee naar Marokko fietsen en dan gaan we er filmpjes van maken en toen waren we allebei niet degene zijn die ging zeggen nee maar dat was een grap toch dus gewoon tot het laatste moment dacht ja kut oké dan gaan we het blijkbaar echt doen we hebben de goedkoopste tennem van Marktplaats gekocht en dan zijn we vertrokken
158909	167603	Jullie volgende avontuur is voor Movember en daar ga ik straks meer over vertellen, maar jullie gaan op een Mower, My Machine, Grasmire.
167683	171028	Gaan jullie van Groningen naar Maastricht voor Movember.
171048	171709	Wauw!
171729	173672	Ja, dat is echt heel sick.
173692	174814	Maar waarom?
174834	175635	Voor Movember.
175615	181022	Onze theorie is, als je in Limburg woont, ben je waarschijnlijk depressief.
181042	181322	Groningen ook?
181363	182304	Ja, dat ook.
182324	187050	Dus wij gaan met onze kennis vanuit Groningen, van hey, weet je hoe gaan wij ermee omdat we in Groningen wonen?
187090	191496	Gaan wij alle mensen in Limburg die waarschijnlijk struggling met een mental helft, gaan wij daarmee reten?
191516	193839	Ja, als ze niet al verzopen zijn van over Groningen.
193859	198585	Maar voordat jullie van Groningen naar Maastricht kunnen gaan, gaan we eerst lekker dumpert reten!
204472	214754	Ik snap hem.
214774	215936	Het is een verkrachtingsgrap.
215956	216778	Vijf reten.
216798	219364	Ja, dat is echt heel grappig.
219384	220907	Heb jij het weleens meegemaakt, Gina July?
220947	221769	Wat?
221789	223071	Verkrachting.
223091	223392	Nee.
228029	257496	het is natuurlijk echt grappig om te doen dit als het meisje zelf niet doorheeft dat het een grap is dat is nog beter ja dan is die nog beter tot als jij hem weleens toepast of ik hem weleens toepast, een verkrachtingsgrap niet een grap gedeeld, nee maar een beetje flauw ja hij vindt op zich wel funny wel funny wel, wel funny, twee reten ik ga ook terug van vijf naar twee wauw ik heb hem één keer gezien, vok hem leuk maar het was vooral vanwege de neuspiercing je weet wel, als ze zo'n ding hebben hebben ze ook daddy issues dan kan je ze ook makkelijker manipuleren
258134	269431	reten.
269451	275500	Oh, ze beft zichzelf.
275520	275620	Wauw.
281827	283710	Is dit Mel van Mel en Dan?
284011	284932	Dat is waarschijnlijk helemaal moeder.
284952	287076	Wie heeft mijn oma nou een telefoon gegeven dan?
287116	289661	Het is grappig, jullie denken oma en ik denk moeder.
289681	295751	Ik denk dan ook aan jouw moeder.
295771	299077	Ja, het is wel echt chill als je als vrouw jezelf kan beffen.
299097	299357	Ja?
299377	300119	Zou dat chill zijn?
300139	300660	Ik denk het wel.
300680	301741	Dat kan toch ook gewoon?
301761	303244	Ja, maar dan moet je hem eerst uitsnijden.
304456	310047	Maar die muziek is een beetje weird eronder, ofzo Die muziek is een beetje weird Ja, wat voor muziek zou jij eronder zetten?
310068	320068	Ja, misschien wel iets vrolijker muziekje Wat dan toch wel een beetje een grapje is, ofzo Een liedje van Ali Bay ofzo Een nummer van Boef van vorige week Die zeg maar versneld is en op een soort country tune
320453	324741	In een uur met z'n vrienden op een driewiel... Vervormde Boef liedjes, dat is altijd heel goed.
324761	325322	Waar dat zat.
325342	327666	Ik vind sowieso Boef gaat echt hartstikke goed, man.
327686	329089	Hebben jullie Boef als uitgenodigd?
329109	331113	Nou, ik zou het best willen, maar volgens mij vindt hij ons niet lauw.
331133	332856	Maar Boef is... Hij vindt je niet lauw, denk je?
332876	337845	Ja, omdat vroeger stond er op Dumpert, zeg maar, elke week een filmpje dat er bier werd gegooid naar Boef.
337865	341252	En er stonden er duizend man onder te juichen, van ja, weet je wel.
341272	342714	Wij vinden Boef wel een absolute lad.
342915	344217	Maar hij reageert nooit op onze damp.
344197	345480	nee?
345500	359792	boef als je nog een dm'tje krijgt van Jesper en Herre ik snap dat je ons negeert maar geef hun even een antwoord weet je hoeveel filmpjes we hebben gestuurd als wij op de fiets of in de kano zijn liedjes luisteren zelfs als ik in de woonkamer lag en ik hoorde Herre douchen met een meisje ergens in Barcelona
359772	363956	hoorde ik hem in het douche en een paar boef lines na het sputten?
363976	365697	of een soort van serendade daar?
365717	372883	je moet wel even de context erbij zetten ik vroeg aan dat meisje in het douche, waar kom je vandaan?
372903	376246	en zij zegt, ik kom uit Nijmegen, dus wat zeg je dan?
376266	386235	kom uit Nijmegen, ik Nijmegen, moeten prijs eten, daarna prijs brengen dat zeg je toch dan gewoon, ja en dat vond hij heel gek dat je dat tegen een meisje in het douche zei, inderdaad jezus!
386255	387356	hou ik bij?
387376	388497	ja, het gaat heel snel
389523	408390	400 reten voor deze vrouw Volgens mij... Nee, nee, nee!
408630	409832	Hoorde je dat niet?
409932	410753	Omdat het niet los?
410793	411113	Ja.
411153	411674	Luister eens goed.
411694	413016	En omdat ze heel veel pijn heeft.
415628	417370	Ik denk niet dat ze nog los kan laten.
417410	418971	Nee, denk ik ook niet.
419372	422314	Die meid kijkt ook alleen maar naar de zijkant.
422334	424036	Wat heeft ze in haar hand?
424056	432484	Die stok heeft ze in haar hand.
432504	433505	Ik vind het heel naar.
433525	434066	Nul reten.
434086	435527	Maar wat probeert ze dan wel?
435567	438830	Ik weet niet wat we proberen, maar ze is wel heel slecht in één reet.
438850	440952	Ja, drie fruitmointjes voor deze meid.
440972	442854	Drie feets met fruit smaak voor mij.
442874	444015	Ik ben helemaal modern.
462068	463471	ik vind het echt knap.
463492	466298	Moet je niet gewoon zo stilk en blijven staan voordat je moet behavernen.
466318	472213	Meestal heb je toch een meisje door de u. Ja, inderdaad.
474320	479645	hij doet het ook in zijn bier dat is wel een beetje vies, maar wat voor bier zou hij ook drinken?
479745	504107	ginnis, ginnis, dat is ook... maar ginnis, dan wordt het wel lekkerder van als je erin kotst ik dacht eigenlijk dat hij echt even aan het relaxen was ofzo, even... ja, even uitblazen, even, ja nou ja wat hij heel goed doet is zeg maar gewoon zijn lippen tuiten zeg maar waardoor het echt zo dat er een beetje druk net als een tuinslang als je duim opdoet ja, maar dat doet hij het zo heel express ja, hij is het echt techniekachtig ja, reten, ja, drie reten het is bewust projectief kotzen vier reten
514060	517846	de echte vraag is, klap haar billo chopper?
517866	518627	nee?
518648	525699	ja, ik zou er wel choppen ik probeer hier snel een woord te leren, maar... ik zou er wel choppen dit is het echt!
525819	527282	hoezo staat dit op dumpert?
527322	530026	ik zie hem al... meisjes, wacht, stop!
530046	533031	ze stond aan een soort snackbar, ze zei oh, gaan we even filmen en dan gaan ze...
534074	556234	je ziet echt dat ik overwicht heb waarom staat het op dumpert vroeg Gina Gilainet jongens leg uit waarom staat het op dumpert nou dit is op deze manier willen laten zien dat vrouwen ook gewoon dingen kunnen het is een lekker wijk 5 reten 5 reten ongelofelijk
560230	565476	Kijk, dit vind ik beter dan die, wat hadden we net?
565496	570762	Dat geklik met die hakjes.
570842	573745	Als het echt een hele dikke kont had geweest, dan had het echt heel goed geweest.
573765	578050	Maar jij houdt ook wel echt van bizar dik, moet ik zeggen.
578070	578590	Jeetje.
578610	579331	Wil je een glas?
579371	583415	Van beukers, dat indruk, van die grote dikke fles.
583435	584837	Grote dikke fles, ja.
585914	588217	We hebben echt heel veel grote, dikke dingen gezien.
588237	590000	Nou, nou, nou.
590020	591742	Bij de Kamasutra beurs, afgelopen weekend.
591762	592884	Was je bij de Kamasutra beurs?
592904	594065	Ja, en René was er ook.
594085	595447	Ja, dan was ik dat.
595467	603198	Ik krijg ineens een fucking sms, of een sms, dat was vroeger op WhatsApp.
603218	603818	Een sms?
603839	604439	Ja, sorry.
604459	606242	En dat was dus van Jaina.
606262	607764	Van, hey, waar ben jij?
607784	608785	En ik echt zo.
608805	610488	Hoezo?
610508	610588	Why?
610608	610828	Weet je al.
611008	613011	En zij zegt, ik ben ook waar jij bent.
613051	614453	En ik echt zo in die darkroom.
615428	618232	maar ja, het was Gira die was ook op de kamers zoeken.
618252	618993	In de darkroom.
619173	620095	Waarom zat jij in de darkroom?
620115	621116	Ik zat niet in de darkroom.
621216	622498	Jullie zijn er denk ik nog nooit geweest.
622599	623340	Nee, nee, nee.
623360	624742	Jullie mogen er niet naar binnen.
624802	626003	Ah, superlief dankjewel, superlief.
626044	635918	Ah, superlief dankjewel.
636320	651612	No darkness my old friend
652098	663704	dat eh, zeggen ze dan dat een eh, nee dat noemen ze dan een blauwtje lopen.
663724	664646	Je kan niet altijd een dun overprijs hebben.
664666	664807	Nee.
664827	666511	Dat noemen ze nou een blauwtje lopen.
666531	667052	Ja, een mooie blauwe ogen.
667072	667814	Hij heeft wel mooie ogen inderdaad.
667854	670680	En een fucking mooie snor voor november, reten.
671521	672202	Jammer Henk.
672222	673785	Henk is ermee gestopt hè.
673825	675048	Henk is helemaal klaar mee.
675068	676330	Met wat is hij gestopt?
676350	679195	Met alle seksstafferelen, kamerzoetrebers is hij ook helemaal klaar mee.
679215	679416	Echt waar.
679476	681259	Maar dit zijn seksstafferelen dan?
681279	684405	Nou ja, seksstafferelen ja, de BDSM weet je niet wat hij allemaal doet.
684425	686689	Ik dacht dat hij daar gewoon rond liep toevallig, gewoon als een gast.
686709	694103	Nee, deze man is echt wel een legend hoor.
700107	701809	Kan je even voornieuw ook zo naar die prullenbak te kijken?
701829	710041	Ik mis het hele... Ik dacht, dit gaat heel vet gebeuren met de prullenbak in Wello.
710061	711764	Zo, hier!
711824	712865	Flying kick.
713065	715349	En nu met het knietje op de nek.
715389	720937	Maar hij had toch ook gewoon even iets naar voren kunnen lopen en dan voorbij die prullenbak gaan staan filmen?
720957	725423	Ja, ik wacht nog steeds tot er iets met de prullenbak gebeurt.
725403	752592	de film is people 360 kick bitch, aah dat is fijn een mooie flying kick, hupsakee, sorry dat is best leuk om blitz agent te zijn als je gewoon mensen mag trappen maar je moet zoveel gezeur en doen en opleidingen en geblad voor je een keer als agent iemand neer mag trappen waarschijnlijk mag dat dus ook helemaal niet nee het gebeurt echt maar denk hooguit een keer per jaar ofzo dat je iemand een flying kick mag geven goede trap, vier reten slecht gefilmd, een reten
753415	759705	hoe oud ben jij?
759725	767957	en dan teken je zo wat een fucking lelige tekening, moet je kijken, ik heb zulke ogen niet mijn haar is heel hoog en waarom ben ik hier kalen met midden?
767977	779254	kijk effe oefenen thuis, volgend jaar wil ik een betere
779690	799931	Ik vond dat hij wel heel goed in zijn ex had, ik vond het wel jammer dat dat kindje op een gegeven moment ook gewoon begon te lachen.
799971	800732	Je had moeten huilen.
800772	803335	Ja, als hij had gejankt was het vijf reten, nu is het twee reten.
804614	818250	aah, tering, tering, tering, aah, godverdomme aah, tering, tering, tering, aah, godverdomme Ben jij schrikkerig?
818290	820854	Ligt echt heel erg aan mijn moed.
820874	821114	Aan je moed?
821154	821915	Ja.
821935	822896	Hoezo aan je moed?
823096	825820	Nou ja, als je een beetje... Heb je een moed waarin je niet schrikkerig bent?
825840	829143	Dit is echt mijn schrikkerig moed.
829164	833909	Ik rijd natuurlijk al twee weken met die twingo rond en er zit nog een originele eindemper onder.
833929	834570	Dat kan niet hè?
835259	839264	maar ik heb wel iets moois.
839284	855225	Zo, die is los.
855627	857409	en we hebben ineens een sportpijp.
857429	860473	Maar ja, dat mag natuurlijk niet, want nou maakt mijn auto iets zoveel herrie.
860513	865699	Ben ik gelijk een zware crimineel, want als je misschien krijgt een decibeltest en een wokmelding en dan mag je helemaal niks meer.
865719	869103	Maar die decibeltest, die voeren ze een meter uit achter de auto.
869143	871506	En ik denk dat ik daar een oplossing voor heb gevonden.
871546	875290	Kijk hier!
875330	877853	Wie dit leest is de lul!
878053	880576	Hallo meneer de lul!
880676	881718	Dit is lang niet gek!
881738	883079	Hey, dit is lang niet gek!
883119	885482	Nee, dat is helemaal als je rustig rijdt, valt best mee!
896380	901125	Het is zo hard!
901145	906712	Maar het is zo raar dat het geluid van boven komt.
907052	909996	Wat een goed commentaar ook.
910016	910316	Het is zo hard!
910336	910997	Met het geluid van god van boven!
911017	911297	Wat vreek vol.
911317	913640	Jullie komen uit Drenthe, Groningen.
913660	914000	Toch?
914020	914481	Ja.
914501	920047	Kunnen jullie mij uitleggen wat er zo leuk is aan een auto die tering veel herrie maakt?
920087	923171	Goede vraag.
923191	926014	Positief, zit goed in elkaar, leuk gedaan.
926034	926134	Vier.
927751	935442	Ik vind als een man moet je gewoon make-up kunnen dragen, want dat heeft niks met je seksualiteit te maken.
935462	938346	Dat heeft gewoon mee te maken dat je sterker in je vel zit.
938406	940749	Ja, dat kan toch ook gewoon, maar smeer het dan even netjes op.
940789	942091	Dat ziet er toch niet uit.
942131	946858	Het ziet eruit alsof je dat hebt geprobeerd, maar het lukte niet en toen moest je huilen en toen ben je toch maar naar buiten gegaan.
946878	947599	Wat zou je doen?
949537	956588	Ik denk wel dat zijn kale hoofd goed gevoel geeft aan je... Hij is kaal, maar heeft wel gewoon een goede staart om aan te trekken.
956628	965562	Als je op zijn hoofd gaat zitten... Ik vind het flauw dat er mensen zijn die daar dan op gaan haten.
965642	968446	Daar staat gewoon nergens op.
968466	972372	Ga je met anderen lastig vallen met je onzekerheid, vind ik.
973246	975448	Ik ben het helemaal met hem eens.
975608	980013	Ik eet hem heel makkelijk om te rozen omdat hij zo uitziet, maar hij heeft in zich gewoon een punt, ja.
980033	981134	Vijf reten voor de boodschap.
981154	982535	Blijf lekker je cellen.
982555	984777	Vijf reten.
984817	986559	Het is weer bijna Movember.
986679	987560	November.
987580	988801	En dan is het Movember.
988841	1000633	In Movember gaan we allemaal, behalve Gina, onze snor laten staan om aandacht te vragen en geld in te zamelen voor de gezondheid van mannen in het algemeen.
1000653	1002595	Ik heb meegenomen in... Wacht even.
1004633	1006437	Ik heb meegenomen.
1006457	1009624	Jullie zijn nog heel jong, maar jij hebt best wel een goed snorretje al.
1009644	1010485	Speciaal hiervoor.
1010505	1011307	Ja, die moet er dus af.
1011327	1012309	Nee, de snor moet er af?
1012329	1013812	Ja, alles moet er af.
1013832	1014514	Alles moet koud.
1014534	1015376	Nu moeten we op nul beginnen.
1015396	1017841	Dan kom ik zo niet meer door de security in, denk ik.
1017881	1020166	De snor is een krachtig symbool.
1020186	1022852	Dat staat voor gezonde mannen in een gezondere wereld.
1022872	1024515	Laat het je boeien en betroveren.
1024495	1028105	zodat je levens reddende gesprekken over de gezondheid van mannen kunt beginnen.
1028125	1031333	Nou, ik merk dat het best wel moeilijk is om met mannen over hun gezondheid te praten.
1031373	1033459	Zeker over hun mentale gezondheid.
1033479	1035765	En ik kan dat zeggen als bijna veertiger.
1035926	1037610	Als boemer.
1038097	1041222	Als je ergens mee zit, jongens, trek ergens aan de bel.
1041362	1044988	Als het bij je moeder, bij je vriend, bij je vriendin, bij gewoon een collega.
1045028	1045749	Bel iemand, bel mij.
1045769	1047291	Je kan straks een mailtje naar Dumpert sturen.
1047391	1048934	Stuur een DM.
1048954	1050035	Mag ook.
1050075	1053861	Doe alles wat je chill is, maar ga er niet mee zitten met je zieligheid.
1053881	1055083	En open up.
1055103	1055664	Ja toch?
1055724	1058388	Ja.
1058408	1059389	Ja, je mag ook kiezen.
1059410	1064998	Ik heb ook nog mijn babybliss, maar dit is eigenlijk mijn ballen scheer, dus die zal ik niet.
1068269	1070812	Niet glad, man.
1070832	1072355	Ja, het is glad genoeg.
1072375	1075319	Dit is helemaal niet glad.
1075339	1076200	Dit is niet glad genoeg.
1076220	1080205	Nou, ik vind het best goed te gaan.
1080225	1082328	Vinden we het glad?
1082348	1083409	Nee, dit is echt niet glad.
1083469	1084891	Dit is een oud ding, jongens.
1084911	1085793	Is dit al genoeg?
1085813	1087675	Ja, dit is veel beter.
1087695	1091040	Kunnen jullie even ondertussen wat goede dingen zeggen over november?
1091060	1095746	Ja, in de AI Tool website die in de beschrijving staat, kan je gewoon jezelf een vette snor geven.
1096026	1096487	Hoe leuk is dat?
1097716	1101349	Wil je mijn balschilapparaat?
1101409	1104379	Ja, we hebben een balschilapparaat.
1104620	1107490	Als je een one night stand bent, dan moet je dit ook aan kunnen.
1109917	1112180	Dit is van Chinese engineering, man.
1112200	1114583	Je moet je vinger ophalen als het flikkert.
1114603	1116104	We moeten hem meer betalen.
1116124	1118708	Wat is dit voor een troefje?
1118748	1120049	Groeien snoor, mensen.
1120069	1121130	Dat ga ik nu ook doen.
1121150	1124775	Je kunt elke week hier in Dumpertreet zien hoe het gaat met mijn snoor.
1124815	1132063	En check natuurlijk de epische reis die Jesper en Herre gaan maken van Groningen naar Maastricht op hun MAI-apparaat.
1132224	1133045	Sittmaaier?
1133085	1134867	Sittmaaier.
1134907	1135448	Sittmaaier.
1135468	1137450	Heb je nooit een Sittmaaier gehad of zo, jongen?
1137470	1139232	Broer, ik heb een balkon met tegels.
1142857	1171952	een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een, twee, drie nou een,
1172320	1184237	en dit is gewoon een gemiddelde dag in Groningen ja
1184858	1190086	Dus hoe denk je dat het ertoe ging als wij mensen krantenabberementen zaten op te lichten op het platteland van Groningen?
1190106	1192049	Nou, echt precies dit.
1192089	1196656	Zij is er schijnlijk ook drie jaar vast aan een kutabberement van Dagblad van Noorden.
1196676	1197858	Daarom is het ook gefrustreerd.
