start	end	text
1516	24283	yo, we zijn bij Dumpert, yo let's go, met René, hij is jarig, alweer een jaartje ouder, maar dit doet hij goed zoals het moet, ik zeg let's go, yo, yo, yo woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow, woooow,
24753	26604	wie had dat gedacht?
26644	31573	ja, ik dacht eigenlijk dat jij gewoon een soort van fenomeen was op het internet maar niet echt bestond
32633	36117	Aangenaam, ik besta dus.
36137	37899	Naast je zit Gina.
39180	39360	Hey Gina.
39381	41563	Je hebt echt grote klauwen trouwens man.
41583	45167	Jezus, heeft jouw vader vroeger in de mijnen gewerkt in Limburg?
45808	50153	Niet dat ik weet, maar u heeft ook van die grote handen.
50313	51074	Jeetje mineetje.
51094	54017	Jeetje ja inderdaad.
54037	55378	Hoe gaat het Jors?
55418	59423	Goed, alles paletti dus.
59443	59603	Paletti?
61068	62229	Wat betekent dat?
62249	67876	Je neemt je eigen, eigenlijk eigen termen aan, dus... Dat is wel vet.
68057	69799	Dat doe ik ook.
69859	71941	Ik heb gewoon nieuwe woorden geleerd hier.
72042	80452	Alles oké is een oerdrokking die alles oké betekent, vooral in het oosten van de provincie Nederlands Limburg.
80492	83375	Hé, maar ik heb jou ooit wel een keer geïnterviewd.
83496	84417	Bij Cabin Kitsch.
84457	85438	Dit wordt pijnlijk.
85570	90377	Oké, ja dat kan allemaal waar zijn.
90397	95706	Ja, maar jullie zouden wel broers kunnen zijn ook eigenlijk, zit ik nu te kijken.
95726	109467	Nee liever, liever niet, maar als het moet dan zijn we voor deze uitzending broers.
109807	112672	Oké, let's go.
112692	113012	Fred, dankjewel.
115456	116919	Hoe is het met jou, Jean?
116939	118080	Ja, wel goed.
118101	119823	Hebben jullie een leuke Koningsdag gehad?
119844	122107	Heb je me op moeten treden?
122127	134328	Ja, ik heb dingetjes gehad, maar je kijkt de koning zelf vanuit thuis, dus... Ik wou er nou niet per se bij zijn, of zo, om die gasten te zien.
134348	136151	Nee, vooral aan Doetinchem.
136171	137093	Schijtdorp is dat.
144633	169155	kijk eens kijk eens kijk eens kijk eens kijk eens
175514	203378	maar ik vind het ook wel boomer gedrag weet je wel als je daar een huis hebt dan weet je gewoon dat de mensen tegen je huis aan gaan pissen en anders moet je lekker ergens in het gooi gaan wonen ja maar aan de andere kant denk ik het is wel je huis waar tegenaan wordt gepist en het wordt nu hartstikke lekker warm dus ook die lucht die blijft er zo hangen dan pak je morgen even je tuinslangetje en dan maak je het schoon maar die man die moet gewoon even zijn behoefte doen maar als je het ziet zal ik wel mee doen maar ik zou er misschien meer een grapje van maken denk ik
208252	209414	Oh, die staan op een auto.
209434	211016	Oh, wat erg, die auto.
211036	213500	Dat is niet erg, dat is je verdiende loon.
213520	219890	Wie laat daar zijn auto staan?
219910	222394	Oh, die auto is helemaal gesloopt.
222454	225419	Zie je, dit is gewoon een soort open inrichting op Koningsdag.
225459	226701	Wat maakt het eruit?
226721	227001	Oh, die chick.
227021	228083	Zal ik zakselen doorheen?
234712	236696	Ik zou er niet op durven te staan ook.
236716	240663	Jawel, want mensen in groepen zijn doodeng.
240703	242687	En dan ga je andere normen en waarden krijg je dan.
242707	247836	Als je drie van die gasten en een chick erop ziet staan, dan denk je... En ineens sta je met z'n allen erop.
247856	248898	Zo ging dat ook in 1939.
248918	255150	Ja, ja.
261509	264713	Ja, ik hou van het feest, maar dit gaat wel gewoon een grens over.
264733	270761	Ik weet natuurlijk niet wat... Ja, die auto staat daar niet om kapotgemaakt te worden, denk ik toch?
270801	272163	Nou, een beetje wel.
272183	272723	Een beetje wel.
272743	276749	Ik vind het wel echt heel dom om je auto te laten staan op de gracht in Amsterdam, op Koningsdag.
