start	end	text
7287	32788	Voetbal, oh dit zijn voetbalsupporters Ah nee Je bent wel, eerlijk gezegd, best wel sterk als je gewoon hier in je eentje dan tegenin gaat Maar zijn dit van die schuimstaven, dat dit een soort van voor de gein een gevecht is of is het hier, oh nee daar vliegen ook stoelen, dit is niet grappig Oh ja, oh zo, hehehe, mijn vraag werd gauw beantwoord
36683	59783	oh god oh, ik heb niets gezien zoals dit, er komen nog meer mensen oh, de glas!
59803	60304	oh mijn god!
60324	61006	oh, ze zijn zo bang!
61026	61847	oké, ze lopen, ze lopen, dat is goed
64477	72185	en dan zeggen ze dat de fans bij de Formule 1 niet leuk zijn.
72205	76850	Hoe weten die hooligans wie er bij jou zit in je team?
76890	89885	Ze zien het toch allemaal uit als één grote groep, één stellige.
89905	90265	Wat is er gebeurd?
92101	111679	het is tijd voor een nieuwe vuurwerkbom in Enschede, drie reten
121396	126004	maar als je daar woont, kijk, die mensen op het balkon, die hebben ook, zitten gewoon eerste rang, joh.
126084	131393	Oh, there they go, there they go, again, second charge.
131413	135701	Dat vind ik ook kut, die stoelen, die zijn gewoon van een terras, terrasondernemer.
135721	135941	Ja.
135981	140890	Ja, mijn ouders hebben vroeger ook een restaurant gehad, ik zou het niet leuk vinden als die klootzakjes die stoelen gebruiken.
148548	150091	Het is wel een soort Lord of the Rings.
150151	153559	Ik wou net zeggen, de Battle of Helms Deep verbleekt hierbij.
153619	166827	Vijf reten voor de filmer, echt waar.
166942	168966	Nou, Dumpert, hallo?
169006	169507	Komt-ie!
169527	170449	Hey!
170489	171892	Hallo!
171912	171992	Hey!
172012	172693	Maatje, o jee!
172713	176460	Ik vind dat toch altijd een beetje sneu dat ze dan in het filmpje al gaan zeggen, joh, dit komt, dit komt.
176480	177342	Nou, ik vind het wel leuk.
177362	179426	Leuk dat-ie ons even aan ons dag bedankt.
179446	189726	Goed gefilmd, filmer.
196490	198953	Ik heb al bijna veertien kilometer gelopen.
198973	199653	Vandaag?
200094	200154	Ja.
200194	201235	Zien jullie mijn fourpack?
201255	203718	Hoe eh... Gast, ik ben even in gesprek.
203738	205840	Ga jij zo vlugel drinken?
205960	208764	Ja, dat doe ik altijd even snel, even stiekem.
